,Time,User,Tweet
63,2022-10-14 06:42:12+00:00,seraph506,웃픈 건 소독제의 경우 울나라는 순도 95% 알콜주정에 물을 타는 희석식 소주가 주류라 그 물량 며칠치 당기니 바로 해결되는 걸 보던 주당 트친님들이 우리가 나라를 살렸다고...😑😑😑
64,2022-10-14 05:54:06+00:00,android_hans,소독제..분명 여기다 챙겨뒀던것같은데? 에엥? 어디로 간거지..?
65,2022-10-14 05:40:06+00:00,nonem0421,"물티슈인줄 알았는데
티슈형 손 소독제"
66,2022-10-14 05:07:27+00:00,kapesususu,RT @sodadrinker_: 친구가 아 비누 없네... 하고 있을 때 가방에서 종이 비누 한똭 꺼내서 친구 줄 일이 생기잖아 그러면 이제 가방에서 비누 못 뺌 여기에 손 소독제가 추가되면 됐지 빼는 경우는 존재하지 않음
67,2022-10-14 04:28:09+00:00,MindPoverty,"RT @juseen: @MindPoverty @The_truth_eye 알보칠이 바로 그 세척제입니다.
증류수에 희석해서 사용하는거...
그런데 한국에 와서는 구강소독제로..."
68,2022-10-14 04:25:59+00:00,juseen,"@MindPoverty @The_truth_eye 알보칠이 바로 그 세척제입니다.
증류수에 희석해서 사용하는거...
그런데 한국에 와서는 구강소독제로..."
69,2022-10-14 04:07:36+00:00,_rotsu_DA,RT @sodadrinker_: 친구가 아 비누 없네... 하고 있을 때 가방에서 종이 비누 한똭 꺼내서 친구 줄 일이 생기잖아 그러면 이제 가방에서 비누 못 뺌 여기에 손 소독제가 추가되면 됐지 빼는 경우는 존재하지 않음
70,2022-10-14 04:01:05+00:00,sodadrinker_,친구가 아 비누 없네... 하고 있을 때 가방에서 종이 비누 한똭 꺼내서 친구 줄 일이 생기잖아 그러면 이제 가방에서 비누 못 뺌 여기에 손 소독제가 추가되면 됐지 빼는 경우는 존재하지 않음
71,2022-10-14 02:04:47+00:00,beom12291818,"@whoisjhl 말로는 못할 게 뭐야. (입술 이죽이고 미미하게 소독제 냄새가 나는 손결에 눈 푹 감는다.) 마음 같아선 형이 졸졸 쫓아 다니고 싶은데, 그런 거 싫어하니까."
72,2022-10-14 01:07:37+00:00,_se2dy,"@eongsadam 님 ㅠㅠㅠ 을릉 발가락으로 대충이라도 ㅠㅠㅠ 그 소독제 만화 그려줘요 ㅠㅠㅠ 짤이라도 좋아요 ㅠㅠㅠㅠㅠㅠㅠ ㅌ  ㅌㅌ
ㅌ
ㅋㅋㅋㅋ ㅋ나 그거 계속 기다릴꺼야 ㅋㅋㅌㅋ ㅠㅠㅠㅠㅠ"
73,2022-10-13 23:01:56+00:00,TakeY0urP_ilL__,"(보채는 그를 귀찮음 가득한 눈으로 한번 눈으로 흘기더니, 피를 닦아내기 위해 가져온 천에 소독제를 적셔 이마에 얹어주었다.) 참아요."
74,2022-10-13 20:00:06+00:00,Daviel_0930,이런... 말은 거의 못해봤지만 그동안 즐거웠어요. 무덤에는 매일 소독제 뿌려드릴게요.
75,2022-10-13 19:09:58+00:00,lovetactix,"그때 난 어떤 생각을 했더라. 학교에 다녀오면 늘 현관에서부터 뿌려야 했던 소독제가 떠올랐던 것도 같다. 책상, 미닫이문, 버스 손잡이, 친한 친구들에게 전염되었을지 모르는 병균. 나는 엄마의 병균이었나?"
76,2022-10-13 17:54:04+00:00,android_hans,소독제..분명 여기다 챙겨뒀던것같은데? 에엥? 어디로 간거지..?
